cenario,protocolo,tamanho_arquivo_mb,tamanho_arquivo_bytes,delay_ms,taxa_perda,vazao_media_mbps,vazao_desvio_mbps,vazao_min_mbps,vazao_max_mbps,tempo_medio_s,tempo_desvio_s,n_execucoes
A,TCP,1,1048576,10,0.0,8.0,0.0,8.0,8.0,1.0,0.0,5
A,R-UDP,1,1048576,10,0.0,3.6645,0.0147,3.6398,3.6828,2.1831,0.0088,5
A,TCP,5,5242880,10,0.0,40.0,0.0,40.0,40.0,1.0,0.0,5
A,R-UDP,5,5242880,10,0.0,3.7464,0.0076,3.738,3.7561,10.6771,0.0215,5
A,TCP,10,10485760,10,0.0,60.1037,0.2617,59.6132,60.4019,1.3311,0.0058,5
A,R-UDP,10,10485760,10,0.0,3.7568,0.0051,3.7501,3.7651,21.2947,0.0289,5
A,TCP,25,26214400,10,0.0,69.7642,0.1361,69.5039,69.9055,2.8668,0.0056,5
A,R-UDP,25,26214400,10,0.0,3.7625,0.0031,3.758,3.7671,53.1554,0.0442,5
A,TCP,50,52428800,10,0.0,73.702,0.0801,73.5545,73.7974,5.4273,0.0059,5
A,R-UDP,50,52428800,10,0.0,3.7647,0.0018,3.7626,3.7671,106.251,0.0496,5
A,TCP,100,104857600,10,0.0,75.8509,0.0421,75.7739,75.901,10.547,0.0059,5
A,R-UDP,100,104857600,10,0.0,3.7667,0.0011,3.7655,3.7683,212.388,0.0596,5
B,TCP,1,1048576,50,0.1,0.1167,0.0376,0.0602,0.1604,78.3272,31.0813,5
B,R-UDP,1,1048576,50,0.1,0.2525,0.014,0.2342,0.2705,31.7823,1.7884,5
B,TCP,5,5242880,50,0.1,0.1036,0.0246,0.0707,0.1261,411.7053,108.6849,5
B,R-UDP,5,5242880,50,0.1,0.2535,0.0053,0.2461,0.2601,157.8448,3.317,5
B,TCP,10,10485760,50,0.1,0.1091,0.021,0.0822,0.134,763.1621,155.975,5
B,R-UDP,10,10485760,50,0.1,0.2532,0.0032,0.2496,0.2573,316.0156,3.9836,5
B,TCP,25,26214400,50,0.1,0.0951,0.0112,0.0756,0.1064,2134.0461,278.0324,5
B,R-UDP,25,26214400,50,0.1,0.2504,0.0034,0.2449,0.2542,798.7403,10.9177,5
B,TCP,50,52428800,50,0.1,0.0971,0.0099,0.0837,0.1089,4166.3097,439.3512,5
B,R-UDP,50,52428800,50,0.1,0.2518,0.0031,0.2481,0.2561,1588.5434,19.5012,5
B,TCP,100,104857600,50,0.1,0.0965,0.0052,0.0914,0.1056,8313.3723,428.6109,5
B,R-UDP,100,104857600,50,0.1,0.2528,0.0021,0.2487,0.2548,3164.9379,27.1446,5
C,TCP,1,1048576,100,0.2,0.004,0.0021,0.0025,0.0081,2394.0263,796.418,5
C,R-UDP,1,1048576,100,0.2,0.0631,0.0044,0.0589,0.0711,127.4108,8.2517,5
C,TCP,5,5242880,100,0.2,0.0034,0.0003,0.0029,0.0038,11950.012,1037.7722,5
C,R-UDP,5,5242880,100,0.2,0.0675,0.0021,0.0658,0.0716,593.2384,18.0832,5
C,TCP,10,10485760,100,0.2,0.0033,0.0001,0.0031,0.0034,24594.6229,846.3615,5
C,R-UDP,10,10485760,100,0.2,0.0684,0.0006,0.0679,0.0696,1169.5916,10.5202,5
C,TCP,25,26214400,100,0.2,0.0034,0.0001,0.0032,0.0036,58282.692,2493.0745,5
C,R-UDP,25,26214400,100,0.2,0.0685,0.001,0.0677,0.0705,2919.1314,43.2915,5
C,TCP,50,52428800,100,0.2,0.0035,0.0001,0.0033,0.0037,115335.3016,4569.1376,5
C,R-UDP,50,52428800,100,0.2,0.0681,0.0007,0.0675,0.0693,5872.1047,56.6314,5
C,TCP,100,104857600,100,0.2,0.0035,0.0001,0.0034,0.0036,227664.841,4837.9531,5
C,R-UDP,100,104857600,100,0.2,0.068,0.0003,0.0675,0.0682,11762.2065,43.4229,5
