protocolo,delay_ms,jitter_std_teorico_ms,taxa_perda,jitter_medio_observado_ms,jitter_desvio_observado_ms,rtt_desvio_medio_ms,vazao_media_mbps,vazao_desvio_mbps,coef_variacao_vazao_pct,n_execucoes
TCP,10,1.0,0.1,0.9679,0.0261,1.5818,0.1311,0.0244,18.62,20
R-UDP,10,1.0,0.1,0.9054,0.0174,1.655,0.881,0.0178,2.01,20
TCP,25,2.5,0.1,2.3974,0.0546,4.0263,0.1147,0.0316,27.56,20
R-UDP,25,2.5,0.1,2.2265,0.0368,5.0586,0.5048,0.009,1.78,20
TCP,50,5.0,0.1,4.797,0.1605,8.1366,0.0948,0.0206,21.77,20
R-UDP,50,5.0,0.1,4.3967,0.0817,10.103,0.2527,0.0042,1.65,20
TCP,75,7.5,0.1,7.2284,0.231,12.2959,0.0826,0.0156,18.87,20
R-UDP,75,7.5,0.1,6.5735,0.1151,15.0084,0.1687,0.0028,1.64,20
TCP,100,10.0,0.1,9.5905,0.2374,16.3048,0.0663,0.0125,18.89,20
R-UDP,100,10.0,0.1,8.7479,0.1607,19.884,0.1267,0.0022,1.71,20
TCP,150,15.0,0.1,14.4194,0.3497,24.5658,0.0451,0.0067,14.82,20
R-UDP,150,15.0,0.1,13.0909,0.2425,29.7508,0.0844,0.0015,1.72,20
TCP,200,20.0,0.1,19.2136,0.4665,32.7486,0.0345,0.0045,12.94,20
R-UDP,200,20.0,0.1,17.4527,0.314,39.6676,0.0633,0.0011,1.66,20
